id_fake_news,information,veracite,explication_resume,explication_details_lien
147,Les sanctions contre les parents qui refusent la vaccination vont-elles être alourdies ? ,CONTESTABLE,"La disposition précise qui s'appliquait jusqu'ici aux parents qui refusaient de vacciner leurs enfants va au contraire être supprimée. Il restera certes une autre voie possible pour poursuivre les parents, mais il s'agit d'une disposition déjà existante et qui nécessiterait des procédures beaucoup plus complexes. ",http://www.lemonde.fr/les-decodeurs/article/2017/10/31/refus-de-vaccination-les-sanctions-seront-elles-alourdies_5208215_4355770.html
148,La marque Ikea offre-t-elle des bons de réduction de 75 euros à l'occasion de ses 75 ans ? ,FAUX,"Les liens qui circulent par Facebook, WhatsApp ou ailleurs à ce sujet ne sont pas issus de la marque. Ils sont en réalité hébergés sur des sites dont l'adresse ressemble à celle d'Ikea, mais n'ont rien à voir avec l'entreprise. Inutile, donc, de répondre aux questions de ce prétendu jeu concours, qui vise simplement à récolter des données personnelles de manière frauduleuse.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_la-marque-ikea-offre-t-elle-des-bons-de-reduction-de-75-euros-a-loccasion-de-ses-75-ans
149,Un bateau a-t-il refait surface 90 ans après avoir disparu dans le triangle des Bermudes ? ,FAUX,"Il s'agit d'un canular du site worldnewsdailyreport.com, repris ensuite par des sites peu scrupuleux. Les autorités cubaines et américaines ont par ailleurs démentis, notamment auprès de l'Associated Press, qu'un tel navire aurait été retrouvé après avoir disparu il y a 90 ans.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_un-bateau-a-t-il-refait-surface-90-ans-apres-avoir-disparu-dans-le-triangle-des-bermudes
150,La Belgique va-t-elle créer un mur pour repousser les migrants venus de France ? ,FAUX,"Il s'agit d'un canular du site satirique legorafi.fr, repris au premier degré par des sites peu scrupuleux.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_la-belgique-va-t-elle-creer-un-mur-pour-repousser-les-migrants-venus-de-france
151,Une femme a-t-elle perdu « 90 kilos en un mois grâce au régime urinothérapique » ?,FAUX,"Il s'agit d'un canular du site parodique secretnews.fr, repris au premier degré par des sites scrupuleux.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_une-femme-a-t-elle-perdu-90-kilos-en-un-mois-grace-au-regime-urinotherapique
152,Une femme de 300 kilos a-t-elle donné naissance à un bébé de 20 kilos ? ,FAUX,"Il s'agit d'un canular du site parodique worldnewsdailyreport.com, repris ensuite au premier degré par de nombreux sites peu scrupuleux des faits.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_une-femme-de-300-kilos-a-t-elle-donne-naissance-a-un-bebe-de-20-kilos
153,A-t-on retrouvé un homme coincé sur une île déserte depuis 9 ans grâce à Google Earth ? ,FAUX,Il s'agit d'une fausse information fabriquée par des sites peu scrupuleux.,http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_a-t-on-retrouve-un-homme-coince-sur-une-ile-deserte-depuis-9-ans-grace-a-google-earth
154,Faudra-t-il désormais passer une visite médicale tous les cinq ans pour garder son permis de conduire ? ,FAUX,Un texte abondamment partagé sur Internet affirme que le nouveau permis de conduire ne dure que quinze ans et qu’une visite médicale est obligatoire tous les cinq ans. Tout est faux.,http://www.lemonde.fr/les-decodeurs/article/2017/11/08/duree-limitee-visite-medicale-obligatoire-intox-autour-du-permis-de-conduire_5212031_4355770.html
155,L'Etat prive-t-il les Français de « 82 % de leur salaire » ?,FAUX,"Ce calcul, qui circule depuis plusieurs années, est faussé par plusieurs erreurs et approximations. Par ailleurs, le raisonnement derrière ce calcul est en lui-même biaisé : il occulte en effet le fait que les prélèvements financent des droits et des services publics, et ne peuvent donc se résumer à de simples  « charges ».   ",http://www.lemonde.fr/les-decodeurs/article/2017/11/10/non-l-etat-ne-prive-pas-les-francais-de-82-de-leur-salaire_5213202_4355770.html
156,Les candidats au bac en 2017 ont-ils planché sur un texte de Booba ? ,FAUX,Il s'agit d'un canular diffusé par plusieurs sites internet et qui a piégé quelques internautes... et même le journal de M6 en novembre 2017.,http://www.lemonde.fr/les-decodeurs/article/2017/11/10/non-un-texte-de-booba-n-a-pas-figure-au-bac-de-francais_5213296_4355770.html
157,Sera-t-il interdit de circuler dans des voitures d'avant 1997 à partir du 1er janvier 2018 ?,FAUX,"Il s'agit d'un canular du site actualite.co, qui n'a pas vocation à être pris au sérieux.",www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_sera-t-il-interdit-de-circuler-en-france-dans-des-voitures-davant-1997-a-partir-du-1er-janvier-2018
